step = 276, t = 0.00020504578127982415, dt = 2.9408967780442746e-7
step = 277, t = 0.00020533987095762858, dt = 2.9408967780442746e-7
step = 278, t = 0.000205633960635433, dt = 2.9408967780442746e-7
step = 279, t = 0.00020592805031323743, dt = 2.9408967780442746e-7
step = 280, t = 0.00020622213999104186, dt = 2.9408967780442746e-7
step = 281, t = 0.0002065162296688463, dt = 2.9408967780442746e-7
step = 282, t = 0.00020681031934665072, dt = 2.9408967780442746e-7
step = 283, t = 0.00020710440902445515, dt = 2.9408967780442746e-7
step = 284, t = 0.00020739849870225958, dt = 2.9408967780442746e-7
step = 285, t = 0.000207692588380064, dt = 2.9408967780442746e-7
step = 286, t = 0.00020798667805786844, dt = 2.9408967780442746e-7
step = 287, t = 0.00020828076773567286, dt = 2.9408967780442746e-7
step = 288, t = 0.0002085748574134773, dt = 2.9408967780442746e-7
step = 289, t = 0.00020886894709128172, dt = 2.9408967780442746e-7
step = 290, t = 0.00020916303676908615, dt = 2.9408967780442746e-7
step = 291, t = 0.00020945712644689058, dt = 2.9408967780442746e-7
step = 292, t = 0.000209751216124695, dt = 2.9408967780442746e-7
step = 293, t = 0.00021004530580249944, dt = 2.9408967780442746e-7
step = 294, t = 0.00021033939548030387, dt = 2.9408967780442746e-7
step = 295, t = 0.0002106334851581083, dt = 2.9408967780442746e-7
step = 296, t = 0.00021092757483591272, dt = 2.9408967780442746e-7
step = 297, t = 0.00021122166451371715, dt = 2.9408967780442746e-7
step = 298, t = 0.00021151575419152158, dt = 2.9408967780442746e-7
step = 299, t = 0.000211809843869326, dt = 2.9408967780442746e-7
step = 300, t = 0.00021210393354713044, dt = 2.9408967780442746e-7
step = 301, t = 0.00021239802322493487, dt = 2.9408967780442746e-7
step = 302, t = 0.0002126921129027393, dt = 2.9408967780442746e-7
step = 303, t = 0.00021298620258054373, dt = 2.9408967780442746e-7
step = 304, t = 0.00021328029225834816, dt = 2.9408967780442746e-7
step = 305, t = 0.00021357438193615258, dt = 2.9408967780442746e-7
step = 306, t = 0.000213868471613957, dt = 2.9408967780442746e-7
step = 307, t = 0.00021416256129176144, dt = 2.9408967780442746e-7
step = 308, t = 0.00021445665096956587, dt = 2.9408967780442746e-7
step = 309, t = 0.0002147507406473703, dt = 2.9408967780442746e-7
step = 310, t = 0.00021504483032517473, dt = 2.9408967780442746e-7
step = 311, t = 0.00021533892000297916, dt = 2.9408967780442746e-7
step = 312, t = 0.0002156330096807836, dt = 2.9408967780442746e-7
step = 313, t = 0.00021592709935858802, dt = 2.9408967780442746e-7
step = 314, t = 0.00021622118903639244, dt = 2.9408967780442746e-7
step = 315, t = 0.00021651527871419687, dt = 2.9408967780442746e-7
step = 316, t = 0.0002168093683920013, dt = 2.9408967780442746e-7
step = 317, t = 0.00021710345806980573, dt = 2.9408967780442746e-7
step = 318, t = 0.00021736677739079457, dt = 2.633193209888449e-7
step = 319, t = 0.0002176300967117834, dt = 2.633193209888449e-7
step = 320, t = 0.00021789341603277223, dt = 2.633193209888449e-7
step = 321, t = 0.00021812814785931596, dt = 2.347318265437155e-7
step = 322, t = 0.00021836287968585969, dt = 2.347318265437155e-7
step = 323, t = 0.00021857149258474587, dt = 2.0861289888616814e-7
step = 324, t = 0.00021878010548363204, dt = 2.0861289888616814e-7
step = 325, t = 0.00021898871838251822, dt = 2.0861289888616814e-7
step = 326, t = 0.0002191973312814044, dt = 2.0861289888616814e-7
step = 327, t = 0.00021940594418029058, dt = 2.0861289888616814e-7
step = 328, t = 0.00021961455707917676, dt = 2.0861289888616814e-7
